,CHF1,EUR1,USD1,EUR2,USD2
2014-01-13,,1.36335,1,1.36335,1
2014-01-14,1.10613368,1.3615,1,1.3615,1
2014-01-15,1.09975918,1.35772,1,1.35772,1
2014-01-16,1.09741781,1.3604,1,1.3604,1
2014-01-17,1.10248119,1.36663,1,1.36663,1
2014-01-18,1.10797227,1.36674,1,1.36674,1
2014-01-19,1.10786144,1.3669,1,1.3669,1
2014-01-20,1.10871507,1.36665,1,1.36665,1
2014-01-21,1.11181529,1.3674,1,1.3674,1
2014-01-22,1.10780005,1.36035,1,1.36035,1
2014-01-23,1.10033397,1.36151,1,1.36151,1
2014-01-24,1.10522887,1.35377,1,1.35377,1
2014-01-25,1.09847917,1.35357,1,1.35357,1
2014-01-26,1.0981409,1.353275,1,1.353275,1
2014-01-27,1.09757442,1.35585,1,1.35585,1
2014-01-28,1.09853907,1.3558,1,1.3558,1
2014-01-29,1.0982376,1.3548,1,1.3548,1
2014-01-30,1.09698445,1.369225,1,1.369225,1
2014-01-31,1.11414407,1.36783,1,1.36783,1
2014-02-01,1.11796804,1.36776,1,1.36776,1
2014-02-02,1.11795554,1.36803,1,1.36803,1
2014-02-03,1.11888113,1.367135,1,1.367135,1
2014-02-04,1.11590333,1.365275,1,1.365275,1
2014-02-05,1.11137049,1.3664,1,1.3664,1
2014-02-06,1.11819323,1.35519,1,1.35519,1
2014-02-07,1.10789824,1.3492,1,1.3492,1
2014-02-08,1.10332659,1.34894,1,1.34894,1
2014-02-09,1.10326572,1.3486,1,1.3486,1
2014-02-10,1.10308315,1.3527,1,1.3527,1
2014-02-11,1.10976094,1.35139,1,1.35139,1
2014-02-12,1.10643951,1.353565,1,1.353565,1
2014-02-13,1.10643982,1.35915,1,1.35915,1
2014-02-14,1.1099888,1.3636,1,1.3636,1
2014-02-15,1.1132139,1.36339,1,1.36339,1
2014-02-16,1.11377185,1.36215,1,1.36215,1
2014-02-17,1.11302808,1.3643,1,1.3643,1
2014-02-18,1.1148086,1.36387,1,1.36387,1
2014-02-19,1.113344,1.35958,1,1.35958,1
2014-02-20,1.11067303,1.367935,1,1.367935,1
2014-02-21,1.11938239,1.36928,1,1.36928,1
2014-02-22,1.12032271,1.36946,1,1.36946,1
2014-02-23,1.12053612,1.37005,1,1.37005,1
2014-02-24,1.12112027,1.37067,1,1.37067,1
2014-02-25,1.12180568,1.37593,1,1.37593,1
2014-02-26,1.12613882,1.373405,1,1.373405,1
2014-02-27,1.12519481,1.371785,1,1.371785,1
2014-02-28,1.12403755,1.3739,1,1.3739,1
2014-03-01,1.12676062,1.37384,1,1.37384,1
2014-03-02,1.12646869,1.37375,1,1.37375,1
2014-03-03,1.12691295,1.37335,1,1.37335,1
2014-03-04,1.12485941,1.37456,1,1.37456,1
2014-03-05,1.1276373,1.36851,1,1.36851,1
2014-03-06,1.12278811,1.37095,1,1.37095,1
2014-03-07,1.12574586,1.38027,1,1.38027,1
2014-03-08,1.13610549,1.38029,1,1.38029,1
2014-03-09,1.13664786,1.377385,1,1.377385,1
2014-03-10,1.13675122,1.373675,1,1.373675,1
2014-03-11,1.1325221,1.37404,1,1.37404,1
2014-03-12,1.12675425,1.373625,1,1.373625,1
2014-03-13,1.12728771,1.386075,1,1.386075,1
2014-03-14,1.13629937,1.38747,1,1.38747,1
2014-03-15,1.13918577,1.38751,1,1.38751,1
2014-03-16,1.13882252,1.38755,1,1.38755,1
2014-03-17,1.13908842,1.38767,1,1.38767,1
2014-03-18,1.13927657,1.3859,1,1.3859,1
2014-03-19,1.13913383,1.39015,1,1.39015,1
2014-03-20,1.144165,1.3868,1,1.3868,1
2014-03-21,1.14311867,1.39113,1,1.39113,1
2014-03-22,1.1460006,1.39111,1,1.39111,1
2014-03-23,1.14600052,1.390455,1,1.390455,1
2014-03-24,1.14568536,1.39266,1,1.39266,1
2014-03-25,1.14488523,1.393055,1,1.393055,1
2014-03-26,1.14508212,1.3823,1,1.3823,1
2014-03-27,1.13417286,1.3778,1,1.3778,1
2014-03-28,1.13160598,1.37939,1,1.37939,1
2014-03-29,1.13275954,1.37936,1,1.37936,1
2014-03-30,1.13275946,1.379065,1,1.379065,1
2014-03-31,1.13282357,1.383715,1,1.383715,1
2014-04-01,1.13542823,1.382645,1,1.382645,1
2014-04-02,1.13282357,1.378865,1,1.378865,1
2014-04-03,1.13005846,1.374305,1,1.374305,1
